Kelas,NIM,uts teori,uas teori,uts praktikum,uas praktikum,quiz1,quiz2,quiz3
B,J3D216153,70.0,80.0,97.5,88.8,92.0,100.0,100.0
B,J3D216159,52.0,70.0,95.0,81.2,85.0,100.0,73.0
B,J3D216160,28.0,16.0,12.0,16.9,68.0,20.0,82.0
B,J3D216162,49.0,0.0,43.5,65.2,65.0,76.0,70.0
B,J3D216165,52.0,59.0,97.5,79.1,91.0,100.0,100.0
B,J3D216166,39.0,27.0,70.5,72.0,75.0,100.0,100.0
B,J3D216170,45.0,70.0,30.0,67.7,60.0,58.0,98.0
B,J3D216172,56.0,59.0,50.0,73.5,92.0,100.0,80.0
B,J3D216174,50.0,65.0,91.0,82.2,92.0,100.0,100.0
B,J3D216183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,J3D216185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,J3D216189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,J3D216191,0.0,0.0,0.0,0.0,74.0,0.0,0.0
B,J3D216192,32.0,38.0,89.0,71.7,89.0,95.0,0.0
B,J3D216195,0.0,25.0,0.0,0.0,88.0,0.0,32.0
B,J3D216196,62.0,71.0,77.0,67.3,92.0,100.0,100.0
B,J3D216197,39.0,23.0,15.0,61.0,65.0,51.0,80.0
